iter	QueryRMSE
0	0.1765101368
1	0.1745315095
2	0.1727339095
3	0.1711165347
4	0.1696735158
5	0.1683097904
6	0.1671815833
7	0.1662236282
8	0.1652902727
9	0.1645107919
10	0.1639535078
11	0.1635334113
12	0.1631143628
13	0.1628287786
14	0.1626199483
15	0.1626411805
16	0.1627160084
17	0.1628584257
18	0.1631265168
19	0.1635206514
20	0.1641091418
21	0.1646417138
22	0.1653383236
23	0.1660277623
24	0.166828975
25	0.1677978033
26	0.1686258372
27	0.169717891
28	0.1708766874
29	0.1721245898
30	0.1734113838
31	0.1747240221
32	0.1761184577
33	0.1774480093
34	0.1788101642
35	0.1804165636
36	0.1819380557
37	0.1836585009
38	0.1854118467
39	0.1868906221
40	0.1882584415
41	0.1900535276
42	0.1919136391
43	0.1935800282
44	0.1955161905
45	0.1973939506
46	0.1992599393
47	0.2009887853
48	0.2028829431
49	0.2050111594
50	0.2068023139
51	0.2089729924
52	0.2110265427
53	0.2132315035
54	0.2154352656
55	0.2172402
56	0.21950288
57	0.221339129
58	0.223193698
59	0.2251407106
60	0.2270755853
61	0.2293397626
62	0.2313707201
63	0.2333945673
64	0.2352859684
65	0.2376035773
66	0.239707471
67	0.2413650429
